x,y,state
0.000000,0.576172,0
0.062500,0.875000,0
0.125000,0.812500,0
0.023438,0.738281,1
0.625000,0.312500,1
0.187500,0.000000,0
0.500000,0.437500,0
0.562500,0.375000,0
1.000000,0.593750,0
0.187500,0.218750,2
0.500000,0.656250,0
1.000000,0.656250,0
0.062500,0.570312,1
0.437500,0.250000,0
0.750000,0.687500,2
0.062500,0.523438,1
0.750000,0.640625,0
1.000000,0.640625,1
0.062500,0.574219,0
0.125000,0.656250,0
0.062500,0.718750,1
0.250000,0.531250,1
0.375000,0.406250,0
0.031250,0.750000,1
0.023438,0.609375,1
0.437500,0.343750,0
0.125000,0.601562,2
0.500000,0.281250,1
1.000000,0.515625,0
0.007812,0.734375,2
0.500000,0.578125,0
0.500000,0.640625,0
0.468750,0.296875,2
0.625000,0.515625,2
1.000000,0.578125,0
0.000000,0.574219,1
0.250000,0.585938,0
0.125000,0.585938,0
0.250000,0.578125,1
0.312500,0.515625,2
0.125000,0.523438,0
0.062500,0.585938,0
0.031250,0.250000,0
0.250000,0.406250,2
0.093750,0.187500,2
0.031250,0.187500,2
0.015625,0.625000,1
1.000000,0.312500,0
0.750000,0.515625,1
0.250000,0.570312,0
0.000000,0.546875,0
0.250000,0.546875,0
0.007812,0.703125,1
0.500000,0.546875,2
0.750000,0.523438,2
0.000000,0.843750,1
0.375000,0.523438,2
0.125000,0.578125,0
0.406250,0.296875,0
0.000000,0.703125,0
0.500000,0.250000,0
0.125000,0.570312,1
0.125000,0.519531,0
0.023438,0.625000,0
0.437500,0.359375,1
0.250000,0.519531,2
0.125000,0.546875,1
0.375000,0.296875,0
0.375000,0.187500,1
0.000000,0.507812,0
0.500000,0.187500,0
0.125000,0.507812,1
0.437500,0.347656,2
0.250000,0.507812,2
0.437500,0.296875,1
0.000000,0.734375,1
0.031250,0.703125,2
0.015625,0.843750,0
1.000000,0.531250,0
0.125000,0.574219,1
0.062500,0.734375,1
0.250000,0.574219,2
0.500000,0.218750,2
0.125000,0.539062,1
0.250000,0.539062,2
0.375000,0.218750,0
0.000000,0.539062,1
