x,y,f
0.567708,0.046875,0.311137
0.578125,0.046875,0.257627
0.588542,0.046875,0.204117
0.598958,0.046875,0.150608
0.609375,0.046875,0.097098
0.619792,0.046875,0.043588
0.630208,0.046875,-0.009922
0.640625,0.046875,-0.063431
0.651042,0.046875,-0.116941
0.661458,0.046875,-0.170451
0.671875,0.046875,-0.223961
0.682292,0.046875,-0.277470
0.692708,0.046875,-0.330980
0.703125,0.046875,-0.384490
0.713542,0.046875,-0.437999
0.723958,0.046875,-0.491509
0.734375,0.046875,-0.545019
0.744792,0.046875,-0.598529
0.755208,0.046875,-0.652038
0.765625,0.046875,-0.705548
0.776042,0.046875,-0.759058
0.786458,0.046875,-0.812568
0.796875,0.046875,-0.866077
0.807292,0.046875,-0.919587
0.817708,0.046875,-0.973097
0.828125,0.046875,-1.026607
0.838542,0.046875,-1.080116
0.848958,0.046875,-1.133626
0.859375,0.046875,-1.187136
0.869792,0.046875,-1.240646
0.880208,0.046875,-1.294155
0.890625,0.046875,-1.347665
0.901042,0.046875,-1.401175
0.911458,0.046875,-1.454685
0.921875,0.046875,-1.508194
0.932292,0.046875,-1.561704
0.942708,0.046875,-1.615214
0.953125,0.046875,-1.668724
0.963542,0.046875,-1.722233
0.973958,0.046875,-1.775743
0.984375,0.046875,-1.829253
0.994792,0.046875,-1.882763
0.005208,0.057292,-3.990444
0.015625,0.057292,-3.825673
0.026042,0.057292,-3.660902
0.036458,0.057292,-3.496132
0.046875,0.057292,-3.331361
0.057292,0.057292,-3.166590
0.067708,0.057292,-3.001819
0.078125,0.057292,-2.837048
0.088542,0.057292,-2.672277
0.098958,0.057292,-2.507506
0.109375,0.057292,-2.342735
0.119792,0.057292,-2.177964
0.130208,0.057292,-1.953763
0.140625,0.057292,-1.670134
0.151042,0.057292,-1.386504
0.161458,0.057292,-1.102874
0.171875,0.057292,-0.819244
0.182292,0.057292,-0.535614
0.192708,0.057292,-0.251985
0.203125,0.057292,0.031645
0.213542,0.057292,0.315275
0.223958,0.057292,0.598905
0.234375,0.057292,0.882535
0.244792,0.057292,1.166165
0.255208,0.057292,1.295703
0.265625,0.057292,1.271149
0.276042,0.057292,1.246596
0.286458,0.057292,1.222042
0.296875,0.057292,1.197489
0.307292,0.057292,1.172935
0.317708,0.057292,1.148382
0.328125,0.057292,1.123828
0.338542,0.057292,1.099275
0.348958,0.057292,1.074721
0.359375,0.057292,1.050168
0.369792,0.057292,1.025614
0.380208,0.057292,1.001061
0.390625,0.057292,0.976507
0.401042,0.057292,0.951954
0.411458,0.057292,0.927400
0.421875,0.057292,0.902847
0.432292,0.057292,0.878293
0.442708,0.057292,0.853740
0.453125,0.057292,0.829186
0.463542,0.057292,0.804633
0.473958,0.057292,0.780079
0.484375,0.057292,0.755526
0.494792,0.057292,0.730972
0.505208,0.057292,0.692566
0.515625,0.057292,0.640308
0.526042,0.057292,0.588050
0.536458,0.057292,0.535792
0.546875,0.057292,0.483533
0.557292,0.057292,0.431275
0.567708,0.057292,0.379017
0.578125,0.057292,0.326759
0.588542,0.057292,0.274500
0.598958,0.057292,0.222242
0.609375,0.057292,0.169984
0.619792,0.057292,0.117726
0.630208,0.057292,0.065467
0.640625,0.057292,0.013209
0.651042,0.057292,-0.039049
0.661458,0.057292,-0.091307
0.671875,0.057292,-0.143566
0.682292,0.057292,-0.195824
0.692708,0.057292,-0.248082
0.703125,0.057292,-0.300340
0.713542,0.057292,-0.352598
0.723958,0.057292,-0.404857
0.734375,0.057292,-0.457115
0.744792,0.057292,-0.509373
0.755208,0.057292,-0.561631
0.765625,0.057292,-0.613890
0.776042,0.057292,-0.666148
0.786458,0.057292,-0.718406
0.796875,0.057292,-0.770664
0.807292,0.057292,-0.822923
0.817708,0.057292,-0.875181
0.828125,0.057292,-0.927439
0.838542,0.057292,-0.979697
0.848958,0.057292,-1.031956
0.859375,0.057292,-1.084214
0.869792,0.057292,-1.136472
0.880208,0.057292,-1.188730
0.890625,0.057292,-1.240989
0.901042,0.057292,-1.293247
0.911458,0.057292,-1.345505
0.921875,0.057292,-1.397763
0.932292,0.057292,-1.450021
0.942708,0.057292,-1.502280
0.953125,0.057292,-1.554538
0.963542,0.057292,-1.606796
0.973958,0.057292,-1.659054
0.984375,0.057292,-1.711313
0.994792,0.057292,-1.763571
0.005208,0.067708,-3.996468
0.015625,0.067708,-3.825465
0.026042,0.067708,-3.654461
0.036458,0.067708,-3.483457
0.046875,0.067708,-3.312454
0.057292,0.067708,-3.141450
0.067708,0.067708,-2.970447
0.078125,0.067708,-2.799443
0.088542,0.067708,-2.628439
0.098958,0.067708,-2.457436
0.109375,0.067708,-2.286432
0.119792,0.067708,-2.115429
0.130208,0.067708,-1.888412
0.140625,0.067708,-1.605384
0.151042,0.067708,-1.322355
0.161458,0.067708,-1.039326
0.171875,0.067708,-0.756297
0.182292,0.067708,-0.473268
0.192708,0.067708,-0.190239
0.203125,0.067708,0.092790
0.213542,0.067708,0.375819
