wala,wac,n0,k_term
170.0,3.75,53,0
169.0,3.75,47,0
168.0,3.75,58,0
167.0,3.75,76,0
166.0,3.75,53,0
165.0,3.75,72,1
164.0,3.75,101,0
163.0,3.75,107,0
163.0,3.75,102,0
162.0,3.75,114,0
161.0,3.75,101,0
160.0,3.75,100,0
159.0,3.75,27,0
158.0,3.75,109,0
158.0,3.75,29,0
157.0,3.25,28,1
157.0,3.75,142,1
157.0,3.75,30,0
156.0,3.25,48,1
156.0,3.75,136,1
155.0,3.25,37,0
156.0,3.75,80,2
200.0,4.993,42,0
274.0,4.952,27,0
182.0,4.204,41,0
183.0,4.461,35,0
249.0,5.054,38,0
250.0,5.559,33,0
155.0,3.016,42,0
192.0,5.315,176,2
191.0,5.32,89,0
191.0,5.293,222,3
191.0,5.3,87,0
190.0,4.898,64,0
191.0,5.306,137,0
191.0,4.902,100,4
191.0,5.289,134,2
191.0,5.314,67,1
191.0,4.946,36,0
191.0,5.281,66,0
191.0,4.91,62,1
192.0,4.882,94,2
192.0,5.297,162,3
192.0,5.288,143,0
192.0,5.28,77,0
252.0,5.546,29,0
250.0,5.533,26,0
197.0,5.367,34,1
175.0,4.292,25,0
199.0,5.285,45,0
199.0,5.312,39,2
185.0,4.867,62,0
185.0,4.947,71,2
185.0,4.862,37,0
184.0,4.921,66,0
184.0,4.854,64,0
184.0,5.254,58,0
182.0,4.959,73,1
183.0,4.811,36,0
183.0,4.983,47,1
182.0,4.985,36,1
182.0,5.266,72,1
182.0,5.271,42,0
182.0,5.279,32,0
182.0,5.024,28,0
182.0,5.262,63,1
182.0,5.26,25,0
181.0,5.1,81,0
181.0,5.032,61,0
182.0,4.869,27,2
182.0,4.836,25,0
188.0,4.782,26,0
196.0,5.307,141,0
196.0,5.317,79,0
279.0,5.234,45,0
276.0,4.75,40,0
258.0,4.75,32,0
198.0,5.307,328,2
198.0,5.317,156,0
197.0,5.312,220,3
197.0,5.337,77,1
189.0,4.862,110,0
190.0,5.297,71,1
189.0,4.838,154,0
190.0,5.276,71,0
189.0,4.916,42,1
190.0,5.274,39,0
189.0,4.865,57,0
190.0,5.276,44,0
188.0,4.821,118,2
188.0,5.291,38,0
188.0,4.87,55,0
188.0,4.813,131,2
189.0,4.842,58,0
187.0,4.439,55,0
187.0,4.815,104,2
