wala,wac,n0,k_term
236.0,6.943,14307.0,14033
236.0,7.399,1668.0,1641
236.0,7.908,25.0,25
234.0,5.625,184.0,170
235.0,6.127,2337.0,2238
235.0,6.565,11973.0,11603
235.0,6.918,9586.0,9346
235.0,7.336,1271.0,1244
234.0,5.51,309.0,300
234.0,6.107,5254.0,5047
234.0,6.523,14137.0,13787
234.0,6.875,7203.0,7044
235.0,7.321,892.0,874
233.0,5.656,396.0,374
233.0,6.106,5262.0,5074
233.0,6.467,11764.0,11547
233.0,6.876,4455.0,4277
234.0,7.336,400.0,384
232.0,5.7,1113.0,1036
232.0,6.097,8642.0,8395
232.0,6.474,13602.0,12718
232.0,6.9,4330.0,4268
232.0,7.409,520.0,503
235.0,4.825,45.0,42
231.0,5.578,977.0,930
231.0,6.068,8600.0,8269
231.0,6.47,10524.0,10230
231.0,6.892,3077.0,3003
232.0,7.32,344.0,332
230.0,5.666,974.0,916
230.0,6.078,9542.0,9036
230.0,6.472,12542.0,11761
230.0,6.883,2800.0,2749
230.0,7.351,462.0,458
229.0,5.633,671.0,651
229.0,6.102,9921.0,9583
228.0,6.467,14200.0,13919
229.0,6.913,3343.0,3258
229.0,7.356,362.0,358
228.0,5.583,820.0,770
228.0,6.065,10167.0,9712
228.0,6.47,21506.0,20395
228.0,6.875,4111.0,3951
228.0,7.344,279.0,275
227.0,5.498,725.0,687
227.0,6.855,6923.0,6677
227.0,7.475,299.0,298
227.0,6.003,7927.0,7534
227.0,6.434,26804.0,25860
226.0,5.564,600.0,575
226.0,5.989,6686.0,6470
226.0,6.395,24259.0,23896
226.0,6.846,11786.0,11381
226.0,7.361,419.0,414
226.0,5.61,381.0,360
226.0,5.99,3686.0,3585
225.0,6.484,23731.0,22507
225.0,6.872,23114.0,22151
224.0,7.341,1675.0,1647
229.0,7.75,36.0,33
224.0,5.568,253.0,249
226.0,5.993,1302.0,1246
224.0,6.584,18910.0,18140
224.0,6.911,21210.0,20631
224.0,7.351,2886.0,2790
224.0,5.601,442.0,419
224.0,6.066,1669.0,1619
223.0,6.559,21062.0,20318
223.0,6.908,23954.0,23267
223.0,7.33,3198.0,3128
221.0,5.25,25.0,23
222.0,5.25,314.0,306
222.0,6.13,4722.0,4570
222.0,6.531,20599.0,20093
222.0,6.905,18734.0,17745
222.0,7.288,1886.0,1813
222.0,8.25,95.0,93
222.0,5.331,579.0,536
221.0,6.117,7234.0,6811
221.0,6.531,23763.0,22980
221.0,6.885,16808.0,16370
221.0,7.359,1493.0,1435
221.0,8.125,371.0,367
220.0,5.147,77.0,75
220.0,5.454,890.0,846
220.0,6.056,11260.0,10846
220.0,6.505,23100.0,22650
220.0,6.91,13889.0,13452
220.0,7.348,1483.0,1453
